sku_id,date,category,sku_type,current_stock,lead_time_days,planning_horizon_days,lead_time_range_days,forecast_daily_demand,forecast_lead_time_demand,uncertainty_daily,safety_buffer,coverage_days,expected_delivery_date,expected_receipt_qty,cadence_days,risk_state,days_to_projected_stockout,projected_unmet_units,minimum_projected_stock,drivers,recommendation,attention_priority,attention_score,data_quality_flags,forecast_method,attention_rank
SKU-2001,2026-06-29 00:00:00,Beverages,new,0.0,14,14,3–14 days,283.25,3965.5,50.63438465204163,94.72825967903233,0.0,,0.0,,Critical,1.0,4319.940692564291,-4319.940692564291,"[{""driver_type"": ""low_stock"", ""label"": ""Low stock"", ""value"": 0.0, ""unit"": ""units"", ""evidence"": ""0 units in stock""}, {""driver_type"": ""limited_sku_history"", ""label"": ""Limited SKU history"", ""value"": 12, ""unit"": ""days"", ""evidence"": ""Only 12 days of SKU history are available.""}, {""driver_type"": ""lead_time_inconsistency"", ""label"": ""Lead time inconsistency"", ""value"": ""3\u201314 days"", ""unit"": ""range"", ""evidence"": ""Observed lead time range is 3\u201314 days.""}, {""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 0.0, ""unit"": ""days"", ""evidence"": ""0.0d cover vs 14d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 50.63438465204163, ""unit"": ""units/day"", ""evidence"": ""Demand variability 50.6 units/day""}, {""driver_type"": ""projected_shortage"", ""label"": ""Projected shortage"", ""value"": 4319.940692564291, ""unit"": ""units"", ""evidence"": ""4,320 units short""}]",Review replenishment immediately; new SKU has limited history and unreliable lead time.,P1,43299.40692564291,"[""lead_time_inconsistent"", ""limited_history""]",12 day cold start baseline,1
SKU-2002,2026-06-29 00:00:00,Flour,new,0.0,7,14,3–14 days,268.0833333333333,3753.1666666666665,55.697981574875335,104.20138209401559,0.0,,0.0,,Critical,1.0,4143.052537690795,-4143.052537690795,"[{""driver_type"": ""low_stock"", ""label"": ""Low stock"", ""value"": 0.0, ""unit"": ""units"", ""evidence"": ""0 units in stock""}, {""driver_type"": ""limited_sku_history"", ""label"": ""Limited SKU history"", ""value"": 12, ""unit"": ""days"", ""evidence"": ""Only 12 days of SKU history are available.""}, {""driver_type"": ""lead_time_inconsistency"", ""label"": ""Lead time inconsistency"", ""value"": ""3\u201314 days"", ""unit"": ""range"", ""evidence"": ""Observed lead time range is 3\u201314 days.""}, {""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 0.0, ""unit"": ""days"", ""evidence"": ""0.0d cover vs 7d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 55.697981574875335, ""unit"": ""units/day"", ""evidence"": ""Demand variability 55.7 units/day""}, {""driver_type"": ""projected_shortage"", ""label"": ""Projected shortage"", ""value"": 4143.052537690795, ""unit"": ""units"", ""evidence"": ""4,143 units short""}]",Review replenishment immediately; new SKU has limited history and unreliable lead time.,P1,41530.52537690796,"[""lead_time_inconsistent"", ""limited_history""]",12 day cold start baseline,2
SKU-2000,2026-06-29 00:00:00,Snacks,new,0.0,10,14,3–14 days,220.08333333333334,3081.166666666667,56.13208178983393,105.01350923196559,0.0,,0.0,,Critical,1.0,3474.0912391955053,-3474.0912391955053,"[{""driver_type"": ""low_stock"", ""label"": ""Low stock"", ""value"": 0.0, ""unit"": ""units"", ""evidence"": ""0 units in stock""}, {""driver_type"": ""limited_sku_history"", ""label"": ""Limited SKU history"", ""value"": 12, ""unit"": ""days"", ""evidence"": ""Only 12 days of SKU history are available.""}, {""driver_type"": ""lead_time_inconsistency"", ""label"": ""Lead time inconsistency"", ""value"": ""3\u201314 days"", ""unit"": ""range"", ""evidence"": ""Observed lead time range is 3\u201314 days.""}, {""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 0.0, ""unit"": ""days"", ""evidence"": ""0.0d cover vs 10d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 56.13208178983393, ""unit"": ""units/day"", ""evidence"": ""Demand variability 56.1 units/day""}, {""driver_type"": ""projected_shortage"", ""label"": ""Projected shortage"", ""value"": 3474.0912391955053, ""unit"": ""units"", ""evidence"": ""3,474 units short""}]",Review replenishment immediately; new SKU has limited history and unreliable lead time.,P1,34840.912391955055,"[""lead_time_inconsistent"", ""limited_history""]",12 day cold start baseline,3
SKU-1022,2026-06-29,Snacks,established,235.0,3,3,3–3 days,206.2682588397081,618.8047765191243,42.99950781064444,37.23866611424547,1.139293080389162,2026-07-02,628.0,3.0,Critical,2.0,731.3760892152122,-731.3760892152122,"[{""driver_type"": ""projected_shortage"", ""label"": ""Projected shortage"", ""value"": 731.3760892152122, ""unit"": ""units"", ""evidence"": ""731 units short""}, {""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 1.139293080389162, ""unit"": ""days"", ""evidence"": ""1.1d cover vs 3d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 42.99950781064444, ""unit"": ""units/day"", ""evidence"": ""Demand variability 43.0 units/day""}, {""driver_type"": ""expected_delivery_timing"", ""label"": ""Expected delivery timing"", ""value"": ""2026-07-02"", ""unit"": null, ""evidence"": ""Delivery 02 Jul does not fully protect projected demand""}]",Review replenishment and consider expediting.,P1,7363.760892152122,"[""lead_time_inconsistent""]",Pooled LightGBM,4
SKU-1002,2026-06-29,Sugar,established,659.0,3,3,3–3 days,295.1093654183596,885.3280962550787,55.54801536132511,48.10599243271577,2.233070438363668,2026-07-03,897.0,3.5,Critical,3.0,704.1836116931551,-704.1836116931551,"[{""driver_type"": ""projected_shortage"", ""label"": ""Projected shortage"", ""value"": 704.1836116931551, ""unit"": ""units"", ""evidence"": ""704 units short""}, {""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 2.233070438363668, ""unit"": ""days"", ""evidence"": ""2.2d cover vs 3d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 55.54801536132511, ""unit"": ""units/day"", ""evidence"": ""Demand variability 55.5 units/day""}, {""driver_type"": ""expected_delivery_timing"", ""label"": ""Expected delivery timing"", ""value"": ""2026-07-03"", ""unit"": null, ""evidence"": ""Delivery 03 Jul does not fully protect projected demand""}]",Review replenishment and consider expediting.,P1,7075.169450264883,"[""lead_time_inconsistent""]",Pooled LightGBM,5
SKU-1000,2026-06-29,Snacks,established,0.0,7,7,7–7 days,112.40485837806226,786.8340086464358,35.2935347887343,46.68895796969876,0.0,2026-07-06,880.0,8.0,Critical,1.0,420.51625772429406,-780.3097546345764,"[{""driver_type"": ""low_stock"", ""label"": ""Low stock"", ""value"": 0.0, ""unit"": ""units"", ""evidence"": ""0 units in stock""}, {""driver_type"": ""projected_shortage"", ""label"": ""Projected shortage"", ""value"": 420.51625772429406, ""unit"": ""units"", ""evidence"": ""421 units short""}, {""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 0.0, ""unit"": ""days"", ""evidence"": ""0.0d cover vs 7d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 35.2935347887343, ""unit"": ""units/day"", ""evidence"": ""Demand variability 35.3 units/day""}, {""driver_type"": ""expected_delivery_timing"", ""label"": ""Expected delivery timing"", ""value"": ""2026-07-06"", ""unit"": null, ""evidence"": ""Delivery 06 Jul does not fully protect projected demand""}]",Review replenishment and consider expediting.,P1,4305.162577242941,"[""lead_time_inconsistent""]",Pooled LightGBM,6
SKU-1010,2026-06-29,Snacks,established,112.0,3,3,3–3 days,202.14878487596044,606.4463546278813,48.26441446556359,41.79820902595921,0.5540473570925681,2026-06-30,694.0,5.0,Watch,4.0,777.9669447611956,-777.9669447611956,"[{""driver_type"": ""projected_shortage"", ""label"": ""Projected shortage"", ""value"": 777.9669447611956, ""unit"": ""units"", ""evidence"": ""778 units short""}, {""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 0.5540473570925681, ""unit"": ""days"", ""evidence"": ""0.6d cover vs 3d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 48.26441446556359, ""unit"": ""units/day"", ""evidence"": ""Demand variability 48.3 units/day""}]",Monitor closely and investigate replenishment timing.,P2,25.0,"[""lead_time_inconsistent""]",Pooled LightGBM,7
SKU-1001,2026-06-29,Beverages,established,2232.0,5,5,5–5 days,435.3627604588807,2176.813802294404,41.89977648915647,46.84537423590068,5.126759113819081,2026-07-05,2957.0,6.0,Watch,5.0,0.0,-49.56324351729484,"[{""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 41.89977648915647, ""unit"": ""units/day"", ""evidence"": ""Demand variability 41.9 units/day""}, {""driver_type"": ""expected_delivery_timing"", ""label"": ""Expected delivery timing"", ""value"": ""2026-07-05"", ""unit"": null, ""evidence"": ""Delivery 05 Jul protects the projected stockout gap""}]",Monitor closely and investigate replenishment timing.,P2,20.0,"[""lead_time_inconsistent""]",Pooled LightGBM,8
SKU-1014,2026-06-29,Snacks,established,1120.0,7,7,7–7 days,227.21787921881327,1590.5251545316928,80.19074482479606,106.0823841277251,4.92918956840288,2026-07-08,2618.0,9.0,Watch,5.0,0.0,-1018.5060130496904,"[{""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 4.92918956840288, ""unit"": ""days"", ""evidence"": ""4.9d cover vs 7d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 80.19074482479606, ""unit"": ""units/day"", ""evidence"": ""Demand variability 80.2 units/day""}, {""driver_type"": ""expected_delivery_timing"", ""label"": ""Expected delivery timing"", ""value"": ""2026-07-08"", ""unit"": null, ""evidence"": ""Delivery 08 Jul protects the projected stockout gap""}]",Monitor closely and investigate replenishment timing.,P2,20.0,"[""lead_time_inconsistent""]",Pooled LightGBM,9
SKU-1023,2026-06-29,Flour,established,1325.0,7,7,7–7 days,207.22408132032305,1450.5685692422612,46.50925833757308,61.52596561163786,6.394044512383869,2026-07-06,1892.0,8.0,Watch,6.0,0.0,-57.87226293465727,"[{""driver_type"": ""short_stock_coverage"", ""label"": ""Short stock coverage"", ""value"": 6.394044512383869, ""unit"": ""days"", ""evidence"": ""6.4d cover vs 7d lead time""}, {""driver_type"": ""forecast_uncertainty"", ""label"": ""Forecast uncertainty"", ""value"": 46.50925833757308, ""unit"": ""units/day"", ""evidence"": ""Demand variability 46.5 units/day""}, {""driver_type"": ""expected_delivery_timing"", ""label"": ""Expected delivery timing"", ""value"": ""2026-07-06"", ""unit"": null, ""evidence"": ""Delivery 06 Jul protects the projected stockout gap""}]",Monitor closely and investigate replenishment timing.,P2,16.666666666666668,"[""lead_time_inconsistent""]",Pooled LightGBM,10
