sku_id,date,current_stock,lead_time_days,forecast_daily_demand,forecast_lead_time_demand,uncertainty_daily,safety_buffer,coverage_days,expected_delivery_date,expected_receipt_qty,cadence_days,risk_state,days_to_projected_stockout,projected_unmet_units,minimum_projected_stock,drivers,recommendation,forecast_method,forecast_lead_time_demand_model
SKU-1000,2026-06-29,0.0,7,112.40485837806226,786.8340086464358,35.2935347887343,46.688957969698755,0.0,2026-07-06,880.0,8.0,Critical,1.0,420.51625772429406,-780.3097546345764,"['Low stock', 'Short stock coverage', 'High forecast demand', 'Forecast uncertainty', 'Expected delivery timing']",Review replenishment and consider expediting.,Pooled LightGBM,786.8340086464358
SKU-1001,2026-06-29,2232.0,5,435.3627604588807,2176.8138022944036,41.89977648915647,46.84537423590068,5.126759113819081,2026-07-05,2957.0,6.0,Watch,5.0,0.0,-49.563243517294836,"['Forecast uncertainty', 'Expected delivery timing']",Monitor closely and investigate replenishment timing.,Pooled LightGBM,2176.8138022944036
SKU-1002,2026-06-29,659.0,3,295.1093654183596,885.3280962550787,55.548015361325106,48.10599243271577,2.2330704383636677,2026-07-03,897.0,3.5,Critical,3.0,704.1836116931551,-704.1836116931551,"['Short stock coverage', 'High forecast demand', 'Forecast uncertainty', 'Expected delivery timing']",Review replenishment and consider expediting.,Pooled LightGBM,885.3280962550788
SKU-1003,2026-06-29,3047.0,7,198.890478116746,1392.2333468172221,46.0059232441321,60.860115869949716,15.3199893169921,2026-07-07,1802.0,9.0,Overstock,,0.0,1493.7459218283157,"['High forecast demand', 'Forecast uncertainty', 'Excess projected stock']",Investigate excess inventory before the next replenishment.,Pooled LightGBM,1392.2333468172221
SKU-1004,2026-06-29,2895.0,7,161.68164279571414,1131.771499569999,33.478631738301125,44.28806690712941,17.905557798282963,2026-07-09,1474.0,10.0,Overstock,,0.0,1289.2113720162172,"['Forecast uncertainty', 'Excess projected stock']",Investigate excess inventory before the next replenishment.,Pooled LightGBM,1131.771499569999
SKU-1005,2026-06-29,1303.0,10,101.60602111898868,1016.0602111898868,28.07859340151154,44.39615432127561,12.82404315856522,2026-07-10,1302.0,12.0,Healthy,,0.0,146.54682180255554,"['High forecast demand', 'Forecast uncertainty']",No immediate action indicated.,Pooled LightGBM,1016.0602111898868
SKU-1006,2026-06-29,10779.0,10,469.56733400338845,4695.673340033884,127.12608310370851,201.00398631178317,22.955174305038472,2026-07-10,6184.0,13.0,Overstock,,0.0,5447.69624444757,"['High forecast demand', 'Forecast uncertainty', 'Excess projected stock']",Investigate excess inventory before the next replenishment.,Pooled LightGBM,4695.673340033884
SKU-1007,2026-06-29,9613.0,14,495.79047940816235,6941.066711714273,224.75895377400943,420.4854998160526,19.38923879997712,2026-07-11,8352.0,17.0,Healthy,,0.0,2923.1304807531615,"['Forecast uncertainty', 'Increasing demand']",No immediate action indicated.,Pooled LightGBM,6941.066711714273
SKU-1008,2026-06-29,292.0,5,91.47974169303913,457.3987084651957,17.662735411657568,19.747538524529528,3.191963538548326,2026-07-02,498.0,6.0,Watch,8.0,12.48887519094339,-12.48887519094339,"['Short stock coverage', 'High forecast demand', 'Forecast uncertainty']",Monitor closely and investigate replenishment timing.,Pooled LightGBM,457.3987084651956
SKU-1009,2026-06-29,9874.0,14,390.31544879697793,5464.416283157691,107.00670008197552,200.19120489801372,25.297487020904335,2026-07-15,6141.0,16.0,Overstock,,0.0,3216.718017430514,"['High forecast demand', 'Forecast uncertainty', 'Excess projected stock']",Investigate excess inventory before the next replenishment.,Pooled LightGBM,5464.416283157691
