n,tp,fp,fn,tn,recall,precision,false_alert_rate,attention_volume,forward_event_warning_share,mean_actual_stockout_lead_days_when_flagged,lead_time,method
147,64,49,2,32,0.9696969696969697,0.5663716814159292,0.6049382716049383,0.7687074829931972,0.9487179487179487,1.864864864864865,3,Baseline
147,65,53,1,28,0.9848484848484849,0.5508474576271186,0.654320987654321,0.8027210884353742,0.9743589743589743,1.894736842105263,3,Candidate
93,22,20,0,51,1.0,0.5238095238095238,0.28169014084507044,0.45161290322580644,1.0,3.0,5,Baseline
93,22,21,0,50,1.0,0.5116279069767442,0.29577464788732394,0.46236559139784944,1.0,3.0,5,Candidate
325,15,72,0,238,1.0,0.1724137931034483,0.23225806451612904,0.2676923076923077,1.0,4.0,7,Baseline
325,15,76,0,234,1.0,0.16483516483516483,0.24516129032258063,0.28,1.0,4.0,7,Candidate
185,19,41,1,124,0.95,0.31666666666666665,0.24848484848484848,0.32432432432432434,0.9444444444444444,5.705882352941177,10,Baseline
185,19,45,1,120,0.95,0.296875,0.2727272727272727,0.34594594594594597,0.9444444444444444,5.705882352941177,10,Candidate
356,0,103,0,253,,0.0,0.2893258426966292,0.2893258426966292,,,14,Baseline
356,0,104,0,252,,0.0,0.29213483146067415,0.29213483146067415,,,14,Candidate
1106,120,285,3,698,0.975609756097561,0.2962962962962963,0.28992878942014244,0.36618444846292947,0.9594594594594594,3.1549295774647885,All,Baseline
1106,121,299,2,684,0.983739837398374,0.28809523809523807,0.3041709053916582,0.379746835443038,0.972972972972973,3.1527777777777777,All,Candidate
