review_window_days,uncertainty_multiplier,n,recall,precision,false_alert_rate,attention_volume
1,0.0,1106,0.975609756097561,0.2926829268292683,0.2950152594099695,0.3707052441229656
1,0.25,1106,0.983739837398374,0.29086538461538464,0.30010172939979657,0.37613019891500904
1,0.5,1106,0.983739837398374,0.290167865707434,0.301119023397762,0.3770343580470163
1,0.75,1106,0.983739837398374,0.2827102803738318,0.3123092573753815,0.38698010849909587
3,0.0,1106,0.975609756097561,0.291970802919708,0.2960325534079349,0.3716094032549729
3,0.25,1106,0.983739837398374,0.2894736842105263,0.3021363173957274,0.3779385171790235
3,0.5,1106,0.983739837398374,0.28809523809523807,0.3041709053916582,0.379746835443038
3,0.75,1106,0.983739837398374,0.2827102803738318,0.3123092573753815,0.38698010849909587
7,0.0,1106,0.983739837398374,0.28809523809523807,0.3041709053916582,0.379746835443038
7,0.25,1106,0.991869918699187,0.28306264501160094,0.3143438453713123,0.3896925858951175
7,0.5,1106,0.991869918699187,0.2772727272727273,0.323499491353001,0.39783001808318263
7,0.75,1106,0.991869918699187,0.27111111111111114,0.3336724313326551,0.40687160940325495
