date,sku_id,category,units_sold,units_received,closing_stock,lead_time_days,prev_closing_stock,expected_closing_stock,stock_balance_valid,stock_balance_difference,stock_balance_clipped,units_sold_original,units_sold_source,history_days,sku_status,limited_history,closing_stock_missing,lead_time_missing,stockout,lead_time_inconsistent
2026-01-01,SKU-1000,Snacks,110.0,0,403.0,7,,,False,,False,110.0,observed,180,established,False,False,False,False,False
2026-01-02,SKU-1000,Snacks,278.0,0,125.0,7,403.0,125.0,True,0.0,False,278.0,observed,180,established,False,False,False,False,False
2026-01-03,SKU-1000,Snacks,121.0,903,907.0,7,125.0,907.0,True,0.0,False,121.0,observed,180,established,False,False,False,False,False
2026-01-04,SKU-1000,Snacks,75.0,0,832.0,7,907.0,832.0,True,0.0,False,75.0,observed,180,established,False,False,False,False,False
2026-01-05,SKU-1000,Snacks,71.0,0,761.0,7,832.0,761.0,True,0.0,False,71.0,observed,180,established,False,False,False,False,False
2026-01-06,SKU-1000,Snacks,103.0,0,658.0,7,761.0,658.0,True,0.0,False,103.0,observed,180,established,False,False,False,False,False
2026-01-07,SKU-1000,Snacks,133.0,0,525.0,7,658.0,525.0,True,0.0,False,133.0,observed,180,established,False,False,False,False,False
2026-01-08,SKU-1000,Snacks,106.0,0,419.0,7,525.0,419.0,True,0.0,False,106.0,observed,180,established,False,False,False,False,False
2026-01-09,SKU-1000,Snacks,112.0,0,307.0,7,419.0,307.0,True,0.0,False,112.0,observed,180,established,False,False,False,False,False
2026-01-10,SKU-1000,Snacks,142.0,761,926.0,7,307.0,926.0,True,0.0,False,142.0,observed,180,established,False,False,False,False,False
2026-01-11,SKU-1000,Snacks,14.0,0,912.0,7,926.0,912.0,True,0.0,False,14.0,observed,180,established,False,False,False,False,False
2026-01-12,SKU-1000,Snacks,71.0,0,841.0,7,912.0,841.0,True,0.0,False,71.0,observed,180,established,False,False,False,False,False
2026-01-13,SKU-1000,Snacks,132.0,0,709.0,7,841.0,709.0,True,0.0,False,132.0,observed,180,established,False,False,False,False,False
2026-01-14,SKU-1000,Snacks,119.0,896,1486.0,7,709.0,1486.0,True,0.0,False,119.0,observed,180,established,False,False,False,False,False
2026-01-15,SKU-1000,Snacks,143.0,0,1343.0,7,1486.0,1343.0,True,0.0,False,143.0,observed,180,established,False,False,False,False,False
